L,a,b,luas_kerusakan,umur_simpan
17.970823599311057,0.9626246309808835,5.265693755918221,17953,3
19.31536494196341,2.578322298819188,8.637192000546037,29302,3
18.362970106075217,0.44520218579233983,6.02500546448087,22875,3
20.562881302281657,2.6270442235894222,7.755928905715933,38034,3
18.38857545310826,1.4452808559419168,6.419564386702319,26170,3
17.59620550695482,1.4134855931953894,6.568619948788893,33977,3
18.13430098014225,1.9458832526127878,7.033596737190919,39230,4
15.725491341429825,0.7282630917958954,5.812932620695705,34239,4
18.288780902722404,2.328777734742431,6.790792895479456,36146,4
18.093967326360595,2.691240159835388,6.866054123896333,41793,4
16.713213025399607,1.649397512726324,6.4821186932147725,31038,4
16.943425170724204,1.2415728437637483,5.844913277208633,29577,4
16.704515463697344,0.7839803936824126,6.177779506729934,25706,4
17.84555959278536,-0.5323873121869838,5.170283806343917,17970,4
18.844720280532268,0.25340505329648977,7.067755625740233,20264,4
18.30598774584234,1.3731399939265145,6.6227604008502965,26344,4
17.20485019770503,1.687328974277733,5.491142667857247,34717,4
17.490935997040328,0.5065807639208515,5.743120110446398,21730,4
19.202406062026405,0.9667994687914927,6.613213811420991,21084,4
15.631108154684721,1.2540795877469293,5.853242198683091,27944,4
16.57425250643244,0.49932126696833734,4.4736199095022755,22100,4
17.63069325190832,1.4679464543674499,6.385990818914308,31151,4
18.298625634265772,1.3190691661280027,7.354621848739498,23205,4
17.68703430523397,2.4687258481464767,6.833835247714745,37523,4
15.538716275119965,0.7855833581994034,4.816573596487501,23459,4
15.74980242679411,1.1391614314957224,5.5067763111456145,28334,4
18.636667675717963,1.8622738606822509,6.622499867366969,37698,5
17.789860866783947,1.4646169838477476,5.786382536382547,25012,5
16.62016301380126,2.1633513215425353,5.975578051758788,25387,5
16.135946984660457,1.3923936114687478,5.404746163749621,28739,5
16.422997127659986,1.7698676576048058,5.717582632505383,30678,5
17.64536574371829,1.3597420801794158,6.623717409587897,17835,5
15.823489094061204,-0.5520904729266647,4.235835046835746,17508,5
16.291158397115446,0.7219459955633738,4.92297100894973,26146,5
15.727983140605565,1.3808596971596216,5.215419127107168,30313,5
14.173904864302248,1.5721488847648857,3.723274624461652,28559,5
16.08799617407939,0.6416266207271804,4.619095112884224,22058,5
14.684242694550441,0.5195317696093582,3.960803440783934,22553,5
16.334146980252477,1.6265716829919938,5.144612644701681,28075,5
14.546368094542412,1.6585264556856885,3.9046017111055846,24078,5
18.112889654539874,0.6357535082367178,4.4060402684563655,19668,5
18.26768698557276,1.5730320909483453,6.348323499784129,27796,5
16.80048278938832,1.5876300781939108,5.6179375624669206,34018,5
16.415893085642615,1.6993323282360677,4.547429309867397,32501,5
18.073631793012467,1.8653649908156922,6.135791550445617,29398,5
15.068273423661859,1.4150111020217366,4.225049666939356,34228,5
